FstudentID,examRankID
10001,1
10002,2
10003,3
10004,4
10005,5
10006,6
10007,7
10008,8
10009,9
10010,10
10011,11
10012,12
10013,13
10014,14
10015,15
10016,16
10017,17
10018,18
10019,19
10020,20
10021,21
10022,22
10023,23
10024,24
10025,25
10026,26
10027,27
10028,28
10029,29
10030,30
10031,31
10032,32
10033,33
10034,34
10035,35
10036,36
10037,37
10038,38
10039,39
10040,40
10041,41
10042,42
10043,43
10044,44
10045,45
10046,46
10047,47
10048,48
10049,49
10050,50
10051,51
10052,52
10053,53
10054,54
10055,55
10056,56
10057,57
10058,58
10059,59
10060,60
10061,61
10062,62
10063,63
10064,64
10065,65
10066,66
10067,67
10068,68
10069,69
10070,70
10071,71
10072,72
10073,73
10074,74
10075,75
10076,76
10077,77
10078,78
10079,79
10080,80
10081,81
10082,82
10083,83
10084,84
10085,85
10086,86
10087,87
10088,88
10089,89
10090,90
10091,91
10092,92
10093,93
10094,94
10095,95
10096,96
10097,97
10098,98
10099,99
10100,100
10101,101
10102,102
10103,103
10104,104
10105,105
10106,106
10107,107
10108,108
10109,109
10110,110
10111,111
10112,112
10113,113
10114,114
10115,115
10116,116
10117,117
10118,118
10119,119
10120,120
10121,121
10122,122
10123,123
10124,124
10125,125
10126,126
10127,127
10128,128
10129,129
10130,130
10131,131
10132,132
10133,133
10134,134
10135,135
10136,136
10137,137
10138,138
10139,139
10140,140
10141,141
10142,142
10143,143
10144,144
10145,145
10146,146
10147,147
10148,148
10149,149
10150,150
10151,151
10152,152
10153,153
10154,154
10155,155
10156,156
10157,157
10158,158
10159,159
10160,160
10161,161
10162,162
10163,163
10164,164
10165,165
10166,166
10167,167
10168,168
10169,169
10170,170
10171,171
10172,172
10173,173
10174,174
10175,175
10176,176
10177,177
10178,178
10179,179
10180,180
10181,181
10182,182
10183,183
10184,184
10185,185
10186,186
10187,187
10188,188
10189,189
10190,190
10191,191
10192,192
10193,193
10194,194
10195,195
10196,196
10197,197
10198,198
10199,199
10200,200
10201,201
10202,202
10203,203
10204,204
10205,205
10206,206
10207,207
10208,208
10209,209
10210,210
10211,211
10212,212
10213,213
10214,214
10215,215
10216,216
10217,217
10218,218
10219,219
10220,220
10221,221
10222,222
10223,223
10224,224
10225,225
10226,226
10227,227
10228,228
10229,229
10230,230
10231,231
10232,232
10233,233
10234,234
10235,235
10236,236
10237,237
10238,238
10239,239
10240,240
10241,241
10242,242
10243,243
10244,244
10245,245
10246,246
10247,247
10248,248
10249,249
10250,250
